,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v,ADJ,PROPN,NUM,NOUN,DATE,URL,PERSON,ORG,ABB
0,2017,False,614,21,0,True,BCDEEE+Calibri-Bold,False,378,44,4,10,-0.00010613922,0,0,0,0,1,0,0,0,0
1,Викулин,True,177,21,0,False,BCDFEE+Calibri-Italic,False,145,77,7,10,0.00072658894,0,1,0,0,0,0,1,0,0
2,Валентин,True,259,21,8,False,BCDFEE+Calibri-Italic,False,145,96,16,10,-0.0001403138,0,1,0,0,0,0,1,0,0
3,Андреевич,True,361,21,17,False,BCDFEE+Calibri-Italic,False,145,100,26,10,0.001303153,0,1,0,0,0,0,1,0,0
4,Бизнес,False,207,21,0,False,BCDHEE+Calibri,True,427,64,6,10,-0.00039210875,0,1,0,0,0,0,1,0,0
5,коммуникаций,False,277,21,7,False,BCDHEE+Calibri,True,427,141,19,10,-0.00091863185,0,0,0,0,0,0,1,0,0
6,и,False,423,21,20,False,BCDHEE+Calibri,True,427,11,21,10,-0.00011088143,0,0,0,0,0,0,1,0,0
7,информатики,False,440,21,22,False,BCDHEE+Calibri,True,427,128,33,10,8.049098e-05,0,0,0,0,0,0,1,0,0
8,12.02.2018,False,287,21,0,False,BCDIEE+Calibri,True,471,100,10,10,0.00012143399,0,0,1,0,0,0,1,0,0
9,Студент,True,362,27,0,True,TimesNewRomanPS-BoldItalicMT,False,98,116,7,12,0.00071579794,0,1,0,0,0,0,0,0,0
10,ФИО:,False,56,36,0,True,TimesNewRomanPS-BoldMT,False,145,98,4,16,0.00050687796,0,0,0,0,0,0,0,0,0
11,Номер,False,56,27,0,True,BCDJEE+Calibri-Bold,False,193,81,5,13,0.00013176799,0,1,0,0,0,0,0,0,0
12,приказа:,False,144,27,6,True,BCDJEE+Calibri-Bold,False,193,106,14,13,0.00022910694,0,0,0,0,0,0,0,0,0
13,ДИ-1512,False,257,27,15,True,BCDEEE+Calibri-Bold,False,193,102,22,13,-0.00066853315,0,1,0,0,0,0,0,0,1
14,Проректор:,False,56,27,0,False,TimesNewRomanPSMT,True,238,136,10,12,-6.361975e-05,0,0,0,0,0,0,0,0,0
15,Индуинова,False,199,27,11,False,TimesNewRomanPSMT,True,238,133,20,12,0.0011090705,0,1,0,0,0,0,1,0,0
16,Анна,False,339,27,21,False,TimesNewRomanPSMT,True,238,62,25,12,-0.0009266921,0,1,0,0,0,0,1,0,0
17,Валерьевна,False,409,27,26,False,TimesNewRomanPSMT,True,238,137,36,12,-0.00070463715,0,1,0,0,0,0,1,0,0
18,Группа:,False,56,36,0,False,BCDHEE+Calibri,True,374,115,7,18,0.00017567373,0,0,0,0,0,0,0,0,0
19,Год,False,342,36,8,False,BCDIEE+Calibri,True,374,54,11,18,-0.00063131755,0,1,0,0,0,0,0,0,0
20,поступления:,False,405,36,12,False,BCDIEE+Calibri,True,374,203,24,18,-0.0006412031,0,0,0,0,0,0,0,0,0
21,Факультет:,True,56,26,0,False,BCDGEE+Calibri-Italic,False,425,141,10,13,-0.0001588081,0,0,0,0,0,0,0,0,0
22,Действителен,True,56,26,0,True,BCDKEE+Calibri-BoldItalic,False,467,176,12,13,0.00066477084,0,1,0,0,0,0,0,0,0
23,до:,True,238,26,13,True,BCDLEE+Calibri-BoldItalic,False,467,34,16,13,1.500289e-05,0,0,0,0,0,0,0,0,0
24,529111-ЗИ,False,186,21,0,True,BCDJEE+Calibri-Bold,False,381,98,9,10,8.919357e-05,0,0,1,0,0,0,0,0,1
